timestamp,battery_value,tensao,corrente
2025-06-13 19:46:05,99,3988,6
2025-06-13 19:46:31,99,3987,6
2025-06-13 19:46:57,99,3987,6
2025-06-13 19:47:23,99,3987,6
2025-06-13 19:47:50,99,3987,6
2025-06-13 19:48:16,99,3987,6
2025-06-13 19:48:42,99,3986,6
2025-06-13 19:49:08,99,3986,6
2025-06-13 19:49:35,99,3986,6
2025-06-13 19:50:01,99,3986,6
2025-06-13 19:50:27,99,3985,6
2025-06-13 19:50:53,99,3985,6
2025-06-13 19:51:19,99,3984,6
2025-06-13 19:51:45,99,3984,6
2025-06-13 19:52:12,99,3983,6
2025-06-13 19:52:38,99,3983,6
2025-06-13 19:53:04,99,3983,6
2025-06-13 19:53:30,99,3983,6
2025-06-13 19:53:56,99,3983,6
2025-06-13 19:54:23,99,3982,6
2025-06-13 19:54:49,99,3982,6
2025-06-13 19:55:15,99,3981,6
2025-06-13 19:55:41,99,3981,6
2025-06-13 19:56:07,99,3981,6
2025-06-13 19:56:34,99,3981,6
2025-06-13 19:57:00,99,3980,6
2025-06-13 19:57:26,99,3980,6
2025-06-13 19:57:52,99,3980,6
2025-06-13 19:58:19,99,3979,6
2025-06-13 19:58:45,99,3979,6
2025-06-13 19:59:11,99,3979,6
2025-06-13 19:59:37,99,3979,6
2025-06-13 20:00:03,99,3978,6
2025-06-13 20:00:29,99,3978,6
2025-06-13 20:00:56,99,3977,6
2025-06-13 20:01:22,99,3977,6
2025-06-13 20:01:48,99,3976,6
2025-06-13 20:02:14,99,3976,6
2025-06-13 20:02:41,99,3976,6
2025-06-13 20:03:07,99,3976,6
2025-06-13 20:03:33,99,3976,6
2025-06-13 20:03:59,99,3975,6
2025-06-13 20:04:25,99,3975,6
2025-06-13 20:04:52,99,3974,6
2025-06-13 20:05:18,99,3974,6
2025-06-13 20:05:44,99,3974,6
2025-06-13 20:06:10,99,3974,6
2025-06-13 20:06:37,99,3973,6
2025-06-13 20:07:03,99,3973,6
2025-06-13 20:07:29,99,3973,6
2025-06-13 20:07:55,99,3972,6
2025-06-13 20:08:21,99,3972,6
2025-06-13 20:08:48,99,3971,6
2025-06-13 20:09:14,99,3971,6
2025-06-13 20:09:40,99,3971,6
2025-06-13 20:10:06,99,3971,6
2025-06-13 20:10:33,99,3970,6
2025-06-13 20:10:59,99,3970,6
